find_in_visits.site	find_in_visits.country	find_in_visits.source	find_in_visits.site2	find_in_visits.traffic_source	find_in_visits.landingpage	find_in_visits.sendingpage	find_in_visits.user	find_in_visits.pages	find_in_visits.timestamps	find_in_visits.year	find_in_visits.month	find_in_visits.day
pl.wikipedia.org	616	243	google.pl	1160	pl.wikipedia.org/wiki/Beata_Szyd%C5%82o	google.pl/search?client=opera&q=beata+szyd%C5%82o&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["pl.wikipedia.org/wiki/Beata_Szyd%C5%82o","pl.wikipedia.org/wiki/Beata_Szyd%C5%82o#Wykszta.C5.82cenie_i_praca_zawodowa","pl.wikipedia.org/wiki/Departament_Stanu_Stan%C3%B3w_Zjednoczonych"]	[1491841554000,1491841556000,1491841583000]	17	4	10
google.pl	616	243	youtube.com	5	google.pl/search?client=opera&q=beata+szyd%C5%82o&sourceid=opera&ie=UTF-8&oe=UTF-8	youtube.com/watch?v=l4PRTQThsA8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["google.pl/search?client=opera&q=beata+szyd%C5%82o&sourceid=opera&ie=UTF-8&oe=UTF-8"]	[1491841534000]	17	4	10
youtube.com	616	243	NULL	5	youtube.com/watch?v=l4PRTQThsA8	NULL	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["youtube.com/watch?v=l4PRTQThsA8"]	[1491840657000]	17	4	10
dakowski.pl	616	243	google.pl	1160	dakowski.pl/index.php?option=com_content&task=view&id=19210&Itemid=119	google.pl/search?client=opera&q=corona+temple+london&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["dakowski.pl/index.php?option=com_content&task=view&id=19210&Itemid=119"]	[1491836675000]	17	4	10
sportowefakty.wp.pl	616	243	wp.pl	6	sportowefakty.wp.pl/pilka-nozna/679327/aram-maciek-pamietamy-lechia-gdansk	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["sportowefakty.wp.pl/pilka-nozna/679327/aram-maciek-pamietamy-lechia-gdansk","sportowefakty.wp.pl/sportowybar/wideo/28957/dziejesiewsporcie-babol-bramkarza-w-93-min-wystarczyla-chwila","sportowefakty.wp.pl/sportowybar/679413/piekna-polska-sportsmenka-pokazala-sie-w-samym-bikini-imponujacy-widok","sportowefakty.wp.pl/pilka-nozna/679386/wojciech-szczesny-jednym-z-najlepszych-bramkarzy-w-europie"]	[1491835204000,1491835243000,1491835264000,1491835312000]	17	4	10
kobieta.wp.pl	616	243	wp.pl	6	kobieta.wp.pl/przez-lata-zmagala-sie-z-otyloscia-gdy-schudla-zaczela-przezywac-koszmar-6109547786802817g	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["kobieta.wp.pl/przez-lata-zmagala-sie-z-otyloscia-gdy-schudla-zaczela-przezywac-koszmar-6109547786802817g","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/2","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/3","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/4","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/5","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/6","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/7","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/8"]	[1491835123000,1491835399000,1491835418000,1491835433000,1491835464000,1491835490000,1491835519000,1491835555000,1491835573000]	17	4	10
wp.pl	616	243	google.pl	5	wp.pl	google.pl/search?client=opera&q=bomba+mezonowa&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wp.pl","wp.pl","wp.pl","wp.pl","wp.pl"]	[1491835077000,1491835155000,1491835223000,1491835306000,1491835344000]	17	4	10
forum.gazeta.pl	616	243	google.pl	1160	forum.gazeta.pl/forum/w,539,160174751,160174751,bomba_mezonowa_serio_pytam.html	google.pl/search?client=opera&q=bomba+mezonowa&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["forum.gazeta.pl/forum/w,539,160174751,160174751,bomba_mezonowa_serio_pytam.html"]	[1491834991000]	17	4	10
multicolour.com	616	243	google.pl	1160	multicolour.com	google.pl/search?client=opera&q=w%C4%99giel+c14&sourceid=opera&ie=UTF-8&oe=UTF-8#q=multicolour	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["multicolour.com","multicolour.com/gallery/index.html","multicolour.com/gallery/index.html?2043702144=undefined","multicolour.com/gallery/index.html?-115311457=undefined","multicolour.com/detail/?-818010329=undefined","multicolour.com/picture/cef_c-wwem001aa.jpeg","multicolour.com/gp/auto.pdf/2/WWEM001aa/MULTICOLOUR_WWEM001aa.pdf","multicolour.com/detail/?-818010329=undefined","multicolour.com","multicolour.com/gallery/index.html","multicolour.com/detail/?-301859306=undefined","multicolour.com/gallery/index.html","multicolour.com/detail/?-68417560=undefined","multicolour.com/gallery/index.html","multicolour.com/gallery/index.html?2043702144=undefined"]	[1491830808000,1491830826000,1491830850000,1491830866000,1491830869000,1491830896000,1491830938000,1491830975000,1491832177000,1491832194000,1491832208000,1491832220000,1491832236000,1491832238000,1491832241000]	17	4	10
facebook.com	616	243	belamisweet.pl	6	facebook.com/346595625542313	belamisweet.pl/?page_id=1904	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["facebook.com/346595625542313"]	[1491830337000]	17	4	10
belami.nazwa.pl	616	243	belamisweet.pl	6	belami.nazwa.pl/instalator/testowy/wordpress/menu-card/skorka-pomaranczy	belamisweet.pl/?page_id=1904	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["belami.nazwa.pl/instalator/testowy/wordpress/menu-card/skorka-pomaranczy","belami.nazwa.pl/instalator/testowy/wordpress/menu-card/figa"]	[1491830304000,1491830311000]	17	4	10
belamisweet.pl	616	243	google.pl	1160	belamisweet.pl/?page_id=1904	google.pl/search?client=opera&q=belamisweet&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["belamisweet.pl/?page_id=1904","belamisweet.pl/?page_id=1904","belamisweet.pl/?page_id=1904","belamisweet.pl","belamisweet.pl/?page_id=2641","belamisweet.pl/?page_id=3309"]	[1491830293000,1491830308000,1491830324000,1491830349000,1491830355000,1491830376000]	17	4	10
cinkciarz.pl	616	243	kitco.com	5	cinkciarz.pl	kitco.com	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["cinkciarz.pl"]	[1491821379000]	17	4	10
kitco.com	616	243	NULL	5	kitco.com	NULL	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["kitco.com"]	[1491821376000]	17	4	10
finanse.wp.pl	616	243	wp.pl	6	finanse.wp.pl/kat,1033699,title,Odbierasz-pensje-w-gotowce-Juz-niedlugo-Ministerstwo-chce-tego-zakazac,wid,18748122,wiadomosc.html?ticaid=118f24	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["finanse.wp.pl/kat,1033699,title,Odbierasz-pensje-w-gotowce-Juz-niedlugo-Ministerstwo-chce-tego-zakazac,wid,18748122,wiadomosc.html?ticaid=118f24"]	[1491821008000]	17	4	10
teleshow.wp.pl	616	243	wp.pl	6	teleshow.wp.pl/ucho-prezesa-odcinek-12-juz-na-youtube-gosciem-w-gabinecie-witold-waszczykowski-6110436553246337a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["teleshow.wp.pl/ucho-prezesa-odcinek-12-juz-na-youtube-gosciem-w-gabinecie-witold-waszczykowski-6110436553246337a"]	[1491820890000]	17	4	10
wspolczesna.pl	616	243	google.pl	1160	wspolczesna.pl/katastrofa-w-smolensku/art/5760813,katastrofa-w-smolensku-sms-do-poslow-z-instrukcja-co-mowic,id,t.html	google.pl/search?client=opera&q=sms+sikorskiego+po+katastrofie&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wspolczesna.pl/katastrofa-w-smolensku/art/5760813,katastrofa-w-smolensku-sms-do-poslow-z-instrukcja-co-mowic,id,t.html"]	[1491820849000]	17	4	10
cinkciarz.pl*	616	243	kitco.com	5	cinkciarz.pl	kitco.com	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["cinkciarz.pl"]	[1491821379000]	17	4	10
belamisweet.pl*	616	243	google.pl	1160	belamisweet.pl/?page_id=1904	google.pl/search?client=opera&q=belamisweet&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["belamisweet.pl/?page_id=1904","belamisweet.pl/?page_id=1904","belamisweet.pl/?page_id=1904","belamisweet.pl","belamisweet.pl/?page_id=2641","belamisweet.pl/?page_id=3309"]	[1491830293000,1491830308000,1491830324000,1491830349000,1491830355000,1491830376000]	17	4	10
nazwa.pl*	616	243	belamisweet.pl	6	belami.nazwa.pl/instalator/testowy/wordpress/menu-card/skorka-pomaranczy	belamisweet.pl/?page_id=1904	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["belami.nazwa.pl/instalator/testowy/wordpress/menu-card/skorka-pomaranczy","belami.nazwa.pl/instalator/testowy/wordpress/menu-card/figa"]	[1491830304000,1491830311000]	17	4	10
facebook.com*	616	243	belamisweet.pl	6	facebook.com/346595625542313	belamisweet.pl/?page_id=1904	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["facebook.com/346595625542313"]	[1491830337000]	17	4	10
multicolour.com*	616	243	google.pl	1160	multicolour.com	google.pl/search?client=opera&q=w%C4%99giel+c14&sourceid=opera&ie=UTF-8&oe=UTF-8#q=multicolour	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["multicolour.com","multicolour.com/gallery/index.html","multicolour.com/gallery/index.html?2043702144=undefined","multicolour.com/gallery/index.html?-115311457=undefined","multicolour.com/detail/?-818010329=undefined","multicolour.com/picture/cef_c-wwem001aa.jpeg","multicolour.com/gp/auto.pdf/2/WWEM001aa/MULTICOLOUR_WWEM001aa.pdf","multicolour.com/detail/?-818010329=undefined","multicolour.com","multicolour.com/gallery/index.html","multicolour.com/detail/?-301859306=undefined","multicolour.com/gallery/index.html","multicolour.com/detail/?-68417560=undefined","multicolour.com/gallery/index.html","multicolour.com/gallery/index.html?2043702144=undefined"]	[1491830808000,1491830826000,1491830850000,1491830866000,1491830869000,1491830896000,1491830938000,1491830975000,1491832177000,1491832194000,1491832208000,1491832220000,1491832236000,1491832238000,1491832241000]	17	4	10
gazeta.pl*	616	243	google.pl	1160	forum.gazeta.pl/forum/w,539,160174751,160174751,bomba_mezonowa_serio_pytam.html	google.pl/search?client=opera&q=bomba+mezonowa&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["forum.gazeta.pl/forum/w,539,160174751,160174751,bomba_mezonowa_serio_pytam.html"]	[1491834991000]	17	4	10
wp.pl*	616	243	google.pl	5	wp.pl	google.pl/search?client=opera&q=bomba+mezonowa&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wp.pl","kobieta.wp.pl/przez-lata-zmagala-sie-z-otyloscia-gdy-schudla-zaczela-przezywac-koszmar-6109547786802817g","wp.pl","sportowefakty.wp.pl/pilka-nozna/679327/aram-maciek-pamietamy-lechia-gdansk","wp.pl","sportowefakty.wp.pl/sportowybar/wideo/28957/dziejesiewsporcie-babol-bramkarza-w-93-min-wystarczyla-chwila","sportowefakty.wp.pl/sportowybar/679413/piekna-polska-sportsmenka-pokazala-sie-w-samym-bikini-imponujacy-widok","wp.pl","sportowefakty.wp.pl/pilka-nozna/679386/wojciech-szczesny-jednym-z-najlepszych-bramkarzy-w-europie","wp.pl","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/2","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/3","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/4","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/5","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/6","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/7","kobieta.wp.pl/katarzyna-pakosinska-bycie-wesolym-to-ciezka-praca-6110112892590209g/8"]	[1491835077000,1491835123000,1491835155000,1491835204000,1491835223000,1491835243000,1491835264000,1491835306000,1491835312000,1491835344000,1491835399000,1491835418000,1491835433000,1491835464000,1491835490000,1491835519000,1491835555000,1491835573000]	17	4	10
dakowski.pl*	616	243	google.pl	1160	dakowski.pl/index.php?option=com_content&task=view&id=19210&Itemid=119	google.pl/search?client=opera&q=corona+temple+london&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["dakowski.pl/index.php?option=com_content&task=view&id=19210&Itemid=119"]	[1491836675000]	17	4	10
youtube.com*	616	243	NULL	5	youtube.com/watch?v=l4PRTQThsA8	NULL	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["youtube.com/watch?v=l4PRTQThsA8"]	[1491840657000]	17	4	10
google.pl*	616	243	youtube.com	5	google.pl/search?client=opera&q=beata+szyd%C5%82o&sourceid=opera&ie=UTF-8&oe=UTF-8	youtube.com/watch?v=l4PRTQThsA8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["google.pl/search?client=opera&q=beata+szyd%C5%82o&sourceid=opera&ie=UTF-8&oe=UTF-8"]	[1491841534000]	17	4	10
wikipedia.org*	616	243	google.pl	1160	pl.wikipedia.org/wiki/Beata_Szyd%C5%82o	google.pl/search?client=opera&q=beata+szyd%C5%82o&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["pl.wikipedia.org/wiki/Beata_Szyd%C5%82o","pl.wikipedia.org/wiki/Beata_Szyd%C5%82o#Wykszta.C5.82cenie_i_praca_zawodowa","pl.wikipedia.org/wiki/Departament_Stanu_Stan%C3%B3w_Zjednoczonych"]	[1491841554000,1491841556000,1491841583000]	17	4	10
pl.wikipedia.org#	616	243	google.pl	1160	pl.wikipedia.org/wiki/Beata_Szyd%C5%82o	google.pl/search?client=opera&q=beata+szyd%C5%82o&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["pl.wikipedia.org/wiki/Beata_Szyd%C5%82o","pl.wikipedia.org/wiki/Beata_Szyd%C5%82o#Wykszta.C5.82cenie_i_praca_zawodowa","pl.wikipedia.org/wiki/Departament_Stanu_Stan%C3%B3w_Zjednoczonych"]	[1491841554000,1491841556000,1491841583000]	17	4	10
gazetaprawna.pl*	616	243	google.pl	1160	gazetaprawna.pl/artykuly/694814,mieszkaniec-pruszkowa-dostal-sms-a-o-zagrozeniu-panstwa-w-dzien-katastrofy-smolenskiej.html	google.pl/search?client=opera&q=sms+sikorskiego+po+katastrofie&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["gazetaprawna.pl/artykuly/694814,mieszkaniec-pruszkowa-dostal-sms-a-o-zagrozeniu-panstwa-w-dzien-katastrofy-smolenskiej.html"]	[1491820469000]	17	4	10
rp.pl	616	243	google.pl	1160	rp.pl/artykul/642925-Tajny-SMS-w-PO--Petelicki-mam-ten-SMS.html	google.pl/search?client=opera&q=sms+sikorskiego+po+katastrofie&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["rp.pl/artykul/642925-Tajny-SMS-w-PO--Petelicki-mam-ten-SMS.html","rp.pl/artykul/642925-Tajny-SMS-w-PO--Petelicki-mam-ten-SMS.html#ap-1"]	[1491820786000,1491820832000]	17	4	10
newsweb.pl	616	243	google.pl	1160	newsweb.pl/2016/05/31/10-kwietnia-dostal-sms-a-zyjemy-8-dni-pozniej-zginal-w-wypadku-samochodowym	google.pl/search?client=opera&q=sms+sikorskiego+po+katastrofie&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["newsweb.pl/2016/05/31/10-kwietnia-dostal-sms-a-zyjemy-8-dni-pozniej-zginal-w-wypadku-samochodowym"]	[1491820701000]	17	4	10
niepoprawni.pl	616	243	google.pl	1160	niepoprawni.pl/blog/7233/szokujace-sms-y-tuz-przed-katastrofa-smolenska	google.pl/search?client=opera&q=sms+sikorskiego+po+katastrofie&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["niepoprawni.pl/blog/7233/szokujace-sms-y-tuz-przed-katastrofa-smolenska"]	[1491820681000]	17	4	10
gazetaprawna.pl	616	243	google.pl	1160	gazetaprawna.pl/artykuly/694814,mieszkaniec-pruszkowa-dostal-sms-a-o-zagrozeniu-panstwa-w-dzien-katastrofy-smolenskiej.html	google.pl/search?client=opera&q=sms+sikorskiego+po+katastrofie&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["gazetaprawna.pl/artykuly/694814,mieszkaniec-pruszkowa-dostal-sms-a-o-zagrozeniu-panstwa-w-dzien-katastrofy-smolenskiej.html"]	[1491820469000]	17	4	10
film.wp.pl	616	243	wp.pl	6	film.wp.pl/andrzej-nardelli-nieodzalowany-czlowiek-kultury-w-czasach-hipisowskich-wszyscy-pili-i-palili-on-nie-6109078868706945a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["film.wp.pl/andrzej-nardelli-nieodzalowany-czlowiek-kultury-w-czasach-hipisowskich-wszyscy-pili-i-palili-on-nie-6109078868706945a"]	[1491819999000]	17	4	10
wiadomosci.wp.pl	616	243	wp.pl	6	wiadomosci.wp.pl/ostre-slowa-jadwigi-staniszkis-o-katastrofie-smolenskiej-6110413093935233a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wiadomosci.wp.pl/ostre-slowa-jadwigi-staniszkis-o-katastrofie-smolenskiej-6110413093935233a","wiadomosci.wp.pl/po-katastrofie-politycy-po-dostali-specjalne-sms-y-6037443059864705a"]	[1491818998000,1491820569000]	17	4	10
wikipedia.org*	616	243	google.pl	1160	pl.wikipedia.org/wiki/Bomba_mezonowa	google.pl/search?client=opera&q=bomba+mezonowa&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["pl.wikipedia.org/wiki/Bomba_mezonowa"]	[1491834412000]	17	4	10
rp.pl*	616	243	google.pl	1160	rp.pl/artykul/642925-Tajny-SMS-w-PO--Petelicki-mam-ten-SMS.html	google.pl/search?client=opera&q=sms+sikorskiego+po+katastrofie&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["rp.pl/artykul/642925-Tajny-SMS-w-PO--Petelicki-mam-ten-SMS.html","rp.pl/artykul/642925-Tajny-SMS-w-PO--Petelicki-mam-ten-SMS.html#ap-1"]	[1491820786000,1491820832000]	17	4	10
wspolczesna.pl*	616	243	google.pl	1160	wspolczesna.pl/katastrofa-w-smolensku/art/5760813,katastrofa-w-smolensku-sms-do-poslow-z-instrukcja-co-mowic,id,t.html	google.pl/search?client=opera&q=sms+sikorskiego+po+katastrofie&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wspolczesna.pl/katastrofa-w-smolensku/art/5760813,katastrofa-w-smolensku-sms-do-poslow-z-instrukcja-co-mowic,id,t.html"]	[1491820849000]	17	4	10
cmegroup.com*	616	243	google.pl	1160	cmegroup.com/trading/agricultural/grain-and-oilseed/soybean.html	google.pl/search?client=opera&q=cbot+soybean&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["cmegroup.com/trading/agricultural/grain-and-oilseed/soybean.html"]	[1492091355000]	17	4	13
google.pl*	616	243	cinkciarz.pl	5	google.pl/search?client=opera&q=cbot+soybean&sourceid=opera&ie=UTF-8&oe=UTF-8	cinkciarz.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["google.pl/search?client=opera&q=cbot+soybean&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=kiedy+nowe+silniki+toyoty&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=oocl+montreal+sailing+schedule&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=oocl+montreal+vessel+v.287.e&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=oocl+toronto+express+position&sourceid=opera&ie=UTF-8&oe=UTF-8"]	[1492091350000,1492092439000,1492093120000,1492094153000,1492095101000]	17	4	13
geekweek.pl*	616	243	google.pl	1160	geekweek.pl/aktualnosci/18923/nowy-silnik-mazdy-czystszy-od-elektrycznych	google.pl/search?client=opera&q=mazda%27s+skyactiv-g+generation+2&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["geekweek.pl/aktualnosci/18923/nowy-silnik-mazdy-czystszy-od-elektrycznych","geekweek.pl/tag/silnik","geekweek.pl/aktualnosci/23697/niemozliwy-silnik-nadal-dziala","geekweek.pl/tag/silnik","geekweek.pl/aktualnosci/18923/nowy-silnik-mazdy-czystszy-od-elektrycznych"]	[1492088253000,1492088346000,1492088567000,1492088848000,1492088849000]	17	4	13
autoblog.com*	616	243	google.pl	1160	autoblog.com/2017/01/16/mazda-skyactiv-engines-hcci-2018	google.pl/search?client=opera&q=mazda%27s+skyactiv-g+generation+2&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["autoblog.com/2017/01/16/mazda-skyactiv-engines-hcci-2018"]	[1492088133000]	17	4	13
o2.pl*	616	243	wp.pl	6	o2.pl/galeria/dantejskie-sceny-na-parkinu-tesli-6111188348246145g	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["o2.pl/galeria/dantejskie-sceny-na-parkinu-tesli-6111188348246145g","o2.pl/hot"]	[1492087191000,1492087204000]	17	4	13
kitco.com*	616	243	kozak-diamonds.pl	5	kitco.com	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["kitco.com"]	[1492084657000]	17	4	13
cinkciarz.pl*	616	243	backissuenewspapers.zendesk.com	5	cinkciarz.pl	backissuenewspapers.zendesk.com/requests/186640/satisfaction/new/W6IIBGVAgHLv7eBfqSb5IJIiu?locale=1176&intention=4	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["cinkciarz.pl"]	[1492083365000]	17	4	13
zendesk.com*	616	243	NULL	5	backissuenewspapers.zendesk.com/requests/186640/satisfaction/new/W6IIBGVAgHLv7eBfqSb5IJIiu?locale=1176&intention=4	NULL	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["backissuenewspapers.zendesk.com/requests/186640/satisfaction/new/W6IIBGVAgHLv7eBfqSb5IJIiu?locale=1176&intention=4","backissuenewspapers.zendesk.com/requests/186640/satisfaction/new/W6IIBGVAgHLv7eBfqSb5IJIiu?locale=1176&intention=4"]	[1492083364000,1492083366000]	17	4	13
poland.us*	616	243	google.pl	1160	poland.us/strona,5,160,0,miedzynarodowe-numery-kierunkowe-do-krajow-na-calym-swiecie-international-dialing-codes.html	google.pl/search?client=opera&q=numery+kierunkowe+kraj%C3%B3w&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["poland.us/strona,5,160,0,miedzynarodowe-numery-kierunkowe-do-krajow-na-calym-swiecie-international-dialing-codes.html"]	[1492081499000]	17	4	13
ipko.pl*	616	243	bilion.com.pl	5	ipko.pl	bilion.com.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["ipko.pl","ipko.pl/index.html","ipko.pl/index.html#home","ipko.pl/index.html#transactions/transfers","ipko.pl/logout.html"]	[1492080792000,1492080835000,1492080837000,1492080855000,1492080998000]	17	4	13
krs-online.com.pl*	616	243	google.pl	1160	krs-online.com.pl	google.pl/search?client=opera&q=krs+online+wyszukiwarka&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["krs-online.com.pl","krs-online.com.pl/sprawdzanie_nip.html","krs-online.com.pl/?p=25&lookn=5222947671&sprawdz=Sprawd%BC"]	[1492076620000,1492076628000,1492076662000]	17	4	13
ms.gov.pl*	616	243	google.pl	1160	bip.ms.gov.pl/pl/rejestry-i-ewidencje/krajowy-rejestr-sadowy/elektroniczny-dostep-do-krajowego-rejestru-sadowego	google.pl/search?client=opera&q=krs+online+wyszukiwarka&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["bip.ms.gov.pl/pl/rejestry-i-ewidencje/krajowy-rejestr-sadowy/elektroniczny-dostep-do-krajowego-rejestru-sadowego","bip.ms.gov.pl/pl/rejestry-i-ewidencje/krajowy-rejestr-sadowy","ems.ms.gov.pl/krs/wyszukiwaniepodmiotu?t:lb=t","ems.ms.gov.pl/krs/wyszukiwaniepodmiotu?t:lb=t","ems.ms.gov.pl/krs/wyszukiwaniepodmiotu?t:lb=t"]	[1492076598000,1492076692000,1492077643000,1492077669000,1492077684000]	17	4	13
eurocel.pl*	616	243	google.pl	1160	eurocel.pl	google.pl/search?client=opera&q=eurocel&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["eurocel.pl","eurocel.pl/dokumenty-do-pobrania","eurocel.pl/wa%C5%BCne-linki","eurocel.pl/kontakt"]	[1492076099000,1492076358000,1492076365000,1492076374000]	17	4	13
